id,sentence
83,NGC 106 is a lenticular galaxy estimated to be about 270 million light - years away in the constellation of Pisces .
84,"The second choice goalkeeper , Phil Kite , was on loan at Middlesbrough , and Tim Flowers had returned to Wolverhampton Wanderers after a loan spell ."
85,"Services to the island run from San Juan 's Luis Muñoz Marín International Airport , Ceiba Airport or Isla Grande Airport ( 20- to 30-minute flight ) ."
86,"Actress Kristin Bauer van Straten was cast at the last minute and guest starred as the sorceress Maleficent , a character from Disney 's 1959 animated film "" Sleeping Beauty "" ."
87,Stephen Totter is an American operatic baritone .
88,These functors are called hom - functors and have numerous applications in category theory and other branches of mathematics .
89,"Zulema left Faith , Hope and Charity in 1971 shortly after a label switch to Sussex Records ."
90,"Liner notes by Charles Frazier , author of "" Cold Mountain "" , and Cohen are included as well ."
91,"He was succeeded by Lieutenant Governor and former Governor Jim Risch , who won the seat in the November 2008 election ."
92,"In Brazil , the dish is known as manjar branco ."
93,"and the Chamber of Commerce of Honfleur in 1958 , the Compagnie Générale Transatlantique for the ore carrier Lens in 1959 and most importantly for the Flandres suite on the liner France in 1961 ."
94,Patricia excelled in the IAAF World Cross Country Championships winning the team silver medal in 1987 and 1989 and the team bronze medal in 1988 .
95,The OAIS has been the basis of numerous prominent digital preservation initiatives and standards including the working group and the Trustworthy Repositories Audit & Certification ( TRAC ) document from OCLC .
96,A PC version for Windows was released in July 2013 entitled NASCAR The Game : 2013 .
97,"It tied with Frank Herbert 's "" Dune "" for the 1966 Hugo Award for Best Novel ."
98,"Remixes of tracks from "" Persona 5 "" were supervised by Kozuka , and original composers Shoji Meguro , Atsushi Kitajoh , and Toshiki Konishi ."
99,"Sua Pan Airport or Sowa Airport is an airport west of Sowa , a town in the Central District of Botswana ."
